Id,Community,retweeted_screen_name,Text,Time
171355391,0,sanghaviharsh,"RT @sanghaviharsh: This smiling face gives our nation thousands reasons of motivation.

Our Hon'ble PM Shri @narendramodi Ji took his first…",2021-03-01T05:36:51.000Z
2166444230,0,PCMohanMP,"RT @PCMohanMP: Vice President of India Shri M Venkaiah Naidu ji took the first shot of #COVID19 vaccine at Government Medical College, Chen…",2021-03-01T09:03:59.000Z
122959195,0,khushsundar,"RT @khushsundar: Always the first to lead from the front.  We are proud of our H’ble PM Shri @narendramodi ji who took a vaccine shot, made…",2021-03-01T05:07:32.000Z
50279781,0,FinancialXpress,"RT @FinancialXpress: BREAKING | #PMModi takes #Covaxin shot at #AIIMS as phase 2 of #corona vaccine drive begins today
https://t.co/LVOZcGs…",2021-03-01T04:54:00.000Z
258370261,0,Paayel_12353,RT @Paayel_12353: The way India and its Health Care has risen to the challenge of #COVID19 will forever remain an example for the World.…,2021-03-01T07:07:10.000Z
775921502642241536,0,mystiquememoir,"RT @mystiquememoir: today,1000s will pray for the side effects of the Vaccine my PM took.
i will pray for Well being of My PM @narendramodi…",2021-03-01T03:27:23.000Z
856530759116402690,1,YashwantSinha,RT @YashwantSinha: Went to a hospital. Patiently waited for my turn to take the corona vaccine. A lady doctor recognised me and insisted on…,2021-03-01T16:38:28.000Z
108391251,0,GabbbarSingh,"RT @GabbbarSingh: Absolute scumbag Health Journos and politicians created this fear among the masses abt the ""Modi vaccine"" &amp; now ppl are i…",2021-03-01T04:05:38.000Z
113568312,0,mepratap,RT @mepratap: PM @narendramodi ji takes #COVAXIN as nationwide drive to cover senior citizen begins. PM hails doctors and scientists for th…,2021-03-01T03:09:34.000Z
160509668,0,kishanreddybjp,"RT @kishanreddybjp: Leading from the front, Hon PM @narendramodi Ji took the first dose of #COVID-19 vaccine today at AIIMS, Delhi.

Starti…",2021-03-01T05:21:51.000Z
2570829264,0,sarbanandsonwal,RT @sarbanandsonwal: A wonderful sight of PM Shri @narendramodi ji once again leading from the front in the crucial global fight against CO…,2021-03-01T03:02:06.000Z
337065278,0,BJP4Delhi,RT @BJP4Delhi: PM @narendramodi took an early morning drive to AIIMS in New Delhi today without disturbing normal traffic. He filled the re…,2021-03-01T15:35:51.000Z
725003596811620353,0,BjpBiplab,"RT @BjpBiplab: Hon'ble PM Shri @narendramodi ji took the first dose of the COVID-19 vaccine (COVAXIN) at AIIMS, New Delhi today. 

I appeal…",2021-03-01T03:18:14.000Z
103237946,0,tweets_tinku,"RT @tweets_tinku: Dayanidhi Maran 

Yesterday
-Will Modi take the COVID Vaccine?

Today
-Has Modi really taken the vaccine?
-What brand did…",2021-03-01T08:39:06.000Z
1349149096909668363,2,POTUS,"RT @POTUS: If there’s one message I want to cut through to everyone in this country, it’s this: The vaccines are safe.

For yourself, your…",2021-03-01T06:09:51.000Z
70121276,0,SidShirole,RT @SidShirole: Registration for next phase of #COVID19 Vaccination for all citizens aged 60+ years and 45+ years (with comorbities) will s…,2021-03-01T02:42:05.000Z
1134423305790795776,0,ArvinderSoin,"RT @ArvinderSoin: This is a real shot in the arm for the nation to wake up to! Leading our conquest of COVID by example.

Come out &amp; #GetVa…",2021-03-01T03:28:27.000Z
225012752,0,ETNOWlive,RT @ETNOWlive: #StartUpCentral | MapMyIndia CEO guides you to your nearest #vaccine centre - directly from your #CoWIN App! Watch #LIVE @Mo…,2021-03-01T17:46:56.000Z
1098694358037983233,0,ResearchWing,RT @ResearchWing: He chose #COVAXIN above #COVISHIELD was symbolism against the negative propaganda of 100% indigenous built #CoronaVaccine…,2021-03-01T07:44:15.000Z
39344374,3,DonaldJTrumpJr,RT @DonaldJTrumpJr: Thank you Donald Trump for making all of these things happen in record time. https://t.co/iakUL7EY2D,2021-03-01T04:33:04.000Z
1115874631,2,CGTNOfficial,"RT @CGTNOfficial: #BREAKING India Prime Minister Narendra Modi took his first dose of #COVID19 vaccine , according to local media (File pho…",2021-03-01T12:53:20.000Z
391901721,0,byadavbjp,"RT @byadavbjp: PM Shri @narendramodi ji waited for his turn to take the Covid vaccine and when his turn came, he went to AIIMS to get the s…",2021-03-01T05:16:05.000Z
56039856,0,abhijitmajumder,"RT @abhijitmajumder: That’s COVAXIN, made in India.
That confidence, also made in India. 🇮🇳🇮🇳🇮🇳 https://t.co/B2JPykBsOD",2021-03-01T04:57:33.000Z
844191238991503360,0,varunpuri1984,"RT @varunpuri1984: What degree of stupidity is this ? Is there a certain criteria that, only people with IQ lower than room Temp are allowe…",2021-03-01T08:57:07.000Z
44356836,0,AmanKayamHai_,"RT @AmanKayamHai_ET: Lots of messaging in PM’s early morning vaccination - going down to AIIMS to get Covaxin, the two nurses in the pictur…",2021-03-01T05:06:18.000Z
2312262702,0,IndiaHistorypic,RT @IndiaHistorypic: 1970s :: Smooth Implementation of  Mass Cholera Vaccination In Bombay https://t.co/KLEK2KssRR,2021-03-01T07:54:46.000Z
99146923,0,aparnabisht7,RT @aparnabisht7: ‘Our PM’ hon @narendramodi ji @PMOIndia has set an example and shut many a speculations on the vaccine 💉 this shot of hop…,2021-03-01T10:42:49.000Z
44588485,0,chetan_bhagat,"RT @chetan_bhagat: India handled Covid better than many other countries.
India will now  handle vaccination better than many other countrie…",2021-03-01T10:33:29.000Z
84021687,0,akhileshsharma1,RT @akhileshsharma1: First person to get the Covid vaccination in the world was 90 years old Margaret Keenan. Vaccine is to help elders liv…,2021-03-01T08:18:30.000Z
1103843394109857793,0,Shomes_quest,"RT @Shomes_quest: The Man of  the Moment smiling as he takes first  jab of the Vaccine.
😍😍
#NarendraModi 
#COVID19Vaccine https://t.co/lZH3…",2021-03-01T08:56:44.000Z
104473820,0,payalmehta100,"RT @payalmehta100: Breaking:
All @BJP4India MPs and Ministers will take a vaccine in their respective constituencies to build confidence am…",2021-03-01T13:41:50.000Z
1890327224,0,PrinceArihan,RT @PrinceArihan: Prakash this is a true depiction of colonization. Your statement clearly depicts the shit filled in your entire being whi…,2021-03-01T16:26:14.000Z
236457592,0,DrTamilisaiGuv,RT @DrTamilisaiGuv: Sister Nivedha from #Puducherry at AIIMS Newdelhi as a part of her medical service had an opportunity to Administer the…,2021-03-01T06:09:57.000Z
2222673457,0,rsprasad,RT @rsprasad: PM @narendramodi has always led from the front in encouraging Indian doctors and scientists. Today he took the first shot of…,2021-03-01T06:48:03.000Z
109554990,4,UNICEFGhana,"RT @UNICEFGhana: We commend H.E. @NAkufoAddo, President of #Ghana and H.E. the First Lady, Madam @RAkufoAddo, for leading by example and re…",2021-03-01T10:47:12.000Z
14499829,2,WHO,"RT @WHO: Vaccine-preventable diseases include:
Cervical cancer
Cholera
Diphtheria
Hep B
Influenza
Japanese encephalitis
Measles
Meningitis…",2021-03-01T22:06:39.000Z
189868631,4,DrTedros,RT @DrTedros: Thanks 🇮🇳 &amp; Prime Minister @narendramodi for supporting #VaccinEquity. Your commitment to #COVAX and sharing #COVID19 vaccine…,2021-03-01T02:14:47.000Z
2412739760,4,MoetiTshidi,"RT @MoetiTshidi: Congratulations to #Ghana for this historic milestone! Thank you 🇬🇭 President H.E. @NAkufoAddo for leading by example.

Th…",2021-03-01T10:54:07.000Z
33933259,4,UNICEF,"RT @UNICEF: Today, Côte d'Ivoire made history as one of the first African countries to vaccinate people against COVID-19 through COVAX - st…",2021-03-01T14:13:55.000Z
